date,year,month,min_cfs,max_cfs,mean_cfs
1995-05,1995,05,832.0,2840.0,1409.774193548387
1995-06,1995,06,1860.0,11600.0,7252.333333333333
1995-07,1995,07,3380.0,10800.0,6603.870967741936
1995-08,1995,08,936.0,3330.0,1687.6129032258063
1995-09,1995,09,646.0,910.0,779.5666666666667
1995-10,1995,10,697.0,1060.0,781.7741935483871
1995-11,1995,11,620.0,1060.0,807.1
1995-12,1995,12,400.0,640.0,461.61290322580646
1996-01,1996,01,380.0,580.0,471.93548387096774
1996-02,1996,02,350.0,600.0,505.86206896551727
1996-03,1996,03,500.0,900.0,573.5483870967741
1996-04,1996,04,940.0,2400.0,1530.3333333333333
1996-05,1996,05,1220.0,5460.0,3049.032258064516
1996-06,1996,06,4030.0,12200.0,8481.333333333334
1996-07,1996,07,2330.0,7510.0,4480.967741935484
1996-08,1996,08,755.0,2260.0,1228.1290322580646
1996-09,1996,09,563.0,841.0,687.5333333333333
1996-10,1996,10,599.0,876.0,678.5483870967741
1996-11,1996,11,600.0,1130.0,776.7
1996-12,1996,12,400.0,600.0,508.38709677419354
1997-01,1997,01,400.0,600.0,493.0967741935484
1997-02,1997,02,350.0,800.0,548.5714285714286
1997-03,1997,03,600.0,1500.0,995.1612903225806
1997-04,1997,04,870.0,1800.0,1237.3333333333333
1997-05,1997,05,1800.0,9640.0,5356.774193548387
1997-06,1997,06,4950.0,16800.0,10856.0
1997-07,1997,07,2390.0,4580.0,2981.2903225806454
1997-08,1997,08,1190.0,4240.0,2289.3548387096776
1997-09,1997,09,1080.0,1970.0,1447.0
1997-10,1997,10,1020.0,1320.0,1154.516129032258
1997-11,1997,11,650.0,1120.0,858.2666666666667
1997-12,1997,12,470.0,700.0,576.1612903225806
1998-01,1998,01,400.0,550.0,463.5483870967742
1998-02,1998,02,520.0,860.0,681.0357142857143
1998-03,1998,03,740.0,1300.0,914.6774193548387
1998-04,1998,04,1060.0,2290.0,1552.6666666666667
1998-05,1998,05,2220.0,4240.0,3180.6451612903224
1998-06,1998,06,4140.0,6990.0,5439.0
1998-07,1998,07,3340.0,7400.0,5240.322580645161
1998-08,1998,08,1340.0,3250.0,1935.483870967742
1998-09,1998,09,759.0,1220.0,896.1333333333333
1998-10,1998,10,728.0,1070.0,860.1612903225806
1998-11,1998,11,480.0,891.0,728.2
1998-12,1998,12,330.0,670.0,539.0322580645161
1999-01,1999,01,520.0,640.0,575.8064516129032
1999-02,1999,02,560.0,620.0,586.0714285714286
1999-03,1999,03,520.0,1610.0,816.9677419354839
1999-04,1999,04,695.0,4020.0,1312.7333333333333
1999-05,1999,05,2290.0,9580.0,3989.032258064516
1999-06,1999,06,6110.0,12200.0,9095.0
1999-07,1999,07,2380.0,6300.0,4366.451612903225
1999-08,1999,08,937.0,2580.0,1520.483870967742
1999-09,1999,09,819.0,1610.0,1048.8
1999-10,1999,10,768.0,879.0,806.4193548387096
1999-11,1999,11,486.0,817.0,720.1666666666666
1999-12,1999,12,430.0,700.0,561.5806451612904
2000-01,2000,01,330.0,430.0,376.1290322580645
2000-02,2000,02,300.0,490.0,368.3448275862069
2000-03,2000,03,460.0,872.0,608.8064516129032
2000-04,2000,04,801.0,1940.0,1366.3
2000-05,2000,05,922.0,5330.0,2477.483870967742
2000-06,2000,06,1610.0,5030.0,3206.0
2000-07,2000,07,942.0,1540.0,1222.258064516129
2000-08,2000,08,507.0,903.0,687.1612903225806
2000-09,2000,09,458.0,702.0,576.7666666666667
2000-10,2000,10,543.0,712.0,632.7741935483871
2000-11,2000,11,450.0,699.0,541.8666666666667
2000-12,2000,12,360.0,430.0,398.8709677419355
2001-01,2001,01,340.0,410.0,388.7096774193548
2001-02,2001,02,390.0,640.0,491.7857142857143
2001-03,2001,03,610.0,850.0,756.8387096774194
2001-04,2001,04,591.0,907.0,714.6666666666666
2001-05,2001,05,479.0,4370.0,1777.225806451613
2001-06,2001,06,749.0,2060.0,1327.2333333333333
2001-07,2001,07,562.0,1190.0,881.8064516129032
2001-08,2001,08,299.0,545.0,448.0967741935484
2001-09,2001,09,300.0,405.0,350.3
2001-10,2001,10,305.0,449.0,352.61290322580646
2001-11,2001,11,400.0,498.0,468.9
2001-12,2001,12,195.0,380.0,268.7096774193548
2002-01,2002,01,180.0,220.0,202.4516129032258
2002-02,2002,02,185.0,260.0,213.21428571428572
2002-03,2002,03,205.0,900.0,403.1290322580645
2002-04,2002,04,557.0,1340.0,878.0666666666667
2002-05,2002,05,426.0,1580.0,805.0645161290323
2002-06,2002,06,1720.0,4130.0,2828.0
2002-07,2002,07,982.0,2190.0,1394.5806451612902
2002-08,2002,08,477.0,916.0,636.2258064516129
2002-09,2002,09,417.0,797.0,554.2
2002-10,2002,10,490.0,665.0,559.3548387096774
2002-11,2002,11,395.0,782.0,635.8333333333334
2002-12,2002,12,340.0,440.0,402.9032258064516
2003-01,2003,01,400.0,460.0,428.4193548387097
2003-02,2003,02,360.0,580.0,468.75
2003-03,2003,03,600.0,1750.0,1042.032258064516
2003-04,2003,04,676.0,1220.0,903.7333333333333
2003-05,2003,05,349.0,5220.0,1172.4193548387098
2003-06,2003,06,1650.0,6340.0,3343.6666666666665
2003-07,2003,07,1010.0,1640.0,1265.1612903225807
2003-08,2003,08,486.0,946.0,654.5806451612904
2003-09,2003,09,508.0,809.0,630.7666666666667
2003-10,2003,10,449.0,520.0,474.3225806451613
2003-11,2003,11,380.0,660.0,481.73333333333335
2003-12,2003,12,330.0,420.0,362.5806451612903
2004-01,2004,01,300.0,350.0,325.80645161290323
2004-02,2004,02,310.0,380.0,348.9655172413793
2004-03,2004,03,360.0,1950.0,869.9354838709677
2004-04,2004,04,539.0,1500.0,1038.3333333333333
2004-05,2004,05,660.0,1930.0,1139.258064516129
2004-06,2004,06,1000.0,5540.0,3111.3333333333335
2004-07,2004,07,1580.0,5300.0,2847.0967741935483
2004-08,2004,08,675.0,1440.0,988.1935483870968
2004-09,2004,09,737.0,969.0,826.0333333333333
2004-10,2004,10,708.0,1280.0,929.1612903225806
2004-11,2004,11,470.0,1080.0,850.5
2004-12,2004,12,340.0,630.0,480.96774193548384
2005-01,2005,01,375.0,470.0,421.7741935483871
2005-02,2005,02,370.0,690.0,456.9642857142857
2005-03,2005,03,750.0,1400.0,1086.774193548387
2005-04,2005,04,1200.0,2440.0,2022.0
2005-05,2005,05,1670.0,7600.0,3710.6451612903224
2005-06,2005,06,3020.0,8590.0,5433.0
2005-07,2005,07,1420.0,5190.0,2785.8064516129034
2005-08,2005,08,649.0,1700.0,1074.741935483871
2005-09,2005,09,464.0,622.0,567.4333333333333
2005-10,2005,10,577.0,724.0,658.0967741935484
2005-11,2005,11,340.0,835.0,672.1666666666666
2005-12,2005,12,450.0,660.0,551.2903225806451
2006-01,2006,01,430.0,580.0,547.741935483871
2006-02,2006,02,400.0,460.0,432.14285714285717
2006-03,2006,03,460.0,800.0,568.3870967741935
2006-04,2006,04,870.0,1820.0,1368.6666666666667
2006-05,2006,05,1400.0,7270.0,3496.7741935483873
2006-06,2006,06,2070.0,7050.0,3718.0
2006-07,2006,07,826.0,2130.0,1503.0645161290322
2006-08,2006,08,397.0,910.0,599.483870967742
2006-09,2006,09,367.0,600.0,463.1
2006-10,2006,10,468.0,758.0,648.6451612903226
2006-11,2006,11,350.0,815.0,629.7
2006-12,2006,12,390.0,610.0,507.0967741935484
2007-01,2007,01,420.0,480.0,447.0967741935484
2007-02,2007,02,430.0,510.0,461.42857142857144
2007-03,2007,03,500.0,960.0,700.9677419354839
2007-04,2007,04,537.0,926.0,705.8333333333334
2007-05,2007,05,563.0,3010.0,1708.8387096774193
2007-06,2007,06,973.0,2750.0,1624.1
2007-07,2007,07,637.0,962.0,769.5806451612904
2007-08,2007,08,351.0,826.0,553.516129032258
2007-09,2007,09,297.0,508.0,394.2
2007-10,2007,10,396.0,574.0,492.9032258064516
2007-11,2007,11,342.0,669.0,529.0666666666667
2007-12,2007,12,370.0,600.0,465.6774193548387
2008-01,2008,01,380.0,470.0,432.5806451612903
2008-02,2008,02,400.0,480.0,423.62068965517244
2008-03,2008,03,470.0,600.0,528.0645161290323
2008-04,2008,04,560.0,1240.0,802.3
2008-05,2008,05,732.0,5490.0,2068.8709677419356
2008-06,2008,06,1730.0,6800.0,4033.0
2008-07,2008,07,1490.0,6470.0,3317.4193548387098
2008-08,2008,08,471.0,1400.0,822.4516129032259
2008-09,2008,09,469.0,678.0,566.5666666666667
2008-10,2008,10,539.0,829.0,684.9677419354839
2008-11,2008,11,550.0,749.0,660.6333333333333
2008-12,2008,12,404.0,650.0,476.0967741935484
2009-01,2009,01,355.0,510.0,443.9032258064516
2009-02,2009,02,341.0,622.0,479.17857142857144
2009-03,2009,03,439.0,782.0,574.258064516129
2009-04,2009,04,644.0,2580.0,1403.8666666666666
2009-05,2009,05,857.0,6090.0,2503.4193548387098
2009-06,2009,06,5990.0,9350.0,7815.666666666667
2009-07,2009,07,2260.0,7400.0,4271.290322580645
2009-08,2009,08,788.0,2080.0,1243.0645161290322
2009-09,2009,09,515.0,755.0,609.0333333333333
2009-10,2009,10,557.0,867.0,755.9677419354839
2009-11,2009,11,460.0,883.0,655.2666666666667
2009-12,2009,12,350.0,540.0,423.0967741935484
2010-01,2010,01,320.0,520.0,444.258064516129
